,id,name,proportion_technical,founder_from_institute,founder_has_phd,founder_pat_pub
984,870911,Extracadabra,0.02,0.0,0.0,0.0
985,892387,Feed.,0.047619047619047616,0.0,0.0,0.0
986,867914,Privateaser,0.04285714285714286,1.0,0.0,1.0
987,1479349,Foodles,0.05555555555555555,0.0,0.0,0.0
988,1845183,Meditect,0.0625,0.0,0.0,0.0
989,20391,LePetitBallon,0.0,0.0,0.0,0.0
990,240429,Nestor,0.03333333333333333,0.0,0.0,1.0
991,1634384,IPaidThat,0.04,0.0,0.0,1.0
992,892834,Agriconomie,0.03389830508474576,1.0,0.0,1.0
993,924749,Comparateuragricole.com,0.0,0.0,0.0,0.0
994,922754,Frigo Magic,0.0,0.0,0.0,0.0
995,925807,Businesstable,0.034482758620689655,0.0,0.0,0.0
996,964572,Clustaar,0.12903225806451613,0.0,0.0,0.0
997,1249643,Yuka,0.0,0.0,0.0,0.0
998,197040,Julie Desk,0.0,0.0,0.0,0.0
999,885327,Chefclub,0.06818181818181818,0.0,0.0,0.0
1000,1511415,Storelift,0.15384615384615385,0.0,0.0,0.0
1001,961884,Easilys,0.05063291139240506,1.0,0.0,0.0
1002,901802,L'Addition,0.07575757575757576,0.0,0.0,0.0
1003,1880723,Technique Solaire,0.13513513513513514,0.0,0.0,0.0
1004,958094,Vite Mon Marché,0.06666666666666667,0.0,0.0,0.0
1005,1662816,Baguette Academy,0.0,0.0,0.0,0.0
1006,131989,Datananas,0.1,0.0,0.0,1.0
1007,1480399,Zest HACCP,0.06666666666666667,1.0,0.0,0.0
1008,1660461,Key Infuser,0.2857142857142857,0.0,0.0,0.0
1009,1660511,Meal Canteen,0.0,0.0,0.0,0.0
1010,1481883,Nateo Healthcare,0.2727272727272727,0.0,0.0,0.0
1011,1662457,Caviste Authentique,0.0,0.0,0.0,0.0
1012,969480,CYNBIOSE,0.45454545454545453,0.0,1.0,0.0
1013,1816615,Wind my roof,,,,
1014,945964,Heyday Integrated Circuits,0.6,0.0,0.0,0.0
1015,1800598,Fuzzy Logic Robotics,,,,
1016,933411,Memorize,0.0,0.0,0.0,0.0
1017,883391,1D Lab,0.2,0.0,0.0,1.0
1018,889686,360&1,0.0,0.0,0.0,0.0
1019,968961,AB7 Industries,0.32558139534883723,0.0,0.0,0.0
1020,156832,Abilian,1.0,0.0,1.0,1.0
1021,1826647,About Goods Company,0.42857142857142855,0.0,0.0,0.0
1022,20346,Pydio,1.0,0.0,0.0,0.0
1023,1659501,Abricot,0.0,0.0,0.0,0.0
1024,894224,Romy,0.14285714285714285,0.0,0.0,0.0
1025,8958,Adrenaline Hunter,0.0,0.0,0.0,0.0
1026,1448366,Adok,0.08333333333333333,0.0,0.0,0.0
1027,928195,Advisor SLA,,,,
1028,73029,Advanced Accelerator Applications,,,,
1029,893827,Aedmap,0.0,0.0,0.0,1.0
1030,969002,Aerial,0.5384615384615384,0.0,0.0,0.0
1031,1482952,ANSES,,,,
1032,1747894,Aix Sonic,,,,
1033,1816945,Algae Natural Food,0.0,0.0,0.0,0.0
1034,870615,Sociallymap,0.14285714285714285,0.0,0.0,1.0
1035,233747,Alkemics,0.16129032258064516,1.0,0.0,0.0
1036,1818427,Abe,,,,
1037,894779,Otherwise Insurance,0.09090909090909091,0.0,0.0,0.0
1038,1743170,Anaxi Technology,0.0,0.0,0.0,0.0
1039,1742971,Anova-Plus,,,,
1040,1834529,Appinmail,,,,
1041,213699,Aqua-tools,0.4166666666666667,0.0,0.0,0.0
1042,1660172,AR24,0.038461538461538464,0.0,0.0,0.0
1043,1479428,Arcure,0.32608695652173914,0.0,0.0,0.0
1044,4969,Archos,,,,
1045,1465700,Aroma Therapeutics,0.2,0.0,0.0,0.0
1046,918223,Minuit Une,0.2,1.0,0.0,0.0
1047,80145,Artips,0.046875,0.0,0.0,0.0
1048,1478628,CETI Centre Européen des Textiles Innovants,0.4444444444444444,0.0,0.0,0.0
1049,898281,Aston Itrade Finance,0.14285714285714285,0.0,0.0,0.0
1050,1662719,Atelier du Fruit,0.625,0.0,0.0,0.0
1051,1834582,Auum,0.3076923076923077,0.0,0.0,0.0
1052,1748341,Awacloud,0.0,0.0,0.0,1.0
1053,892388,Axyn Robotique,0.2727272727272727,0.0,0.0,0.0
1054,1726288,Fizix,0.0,0.0,0.0,0.0
1055,1478750,Baby Sittor,0.03333333333333333,0.0,0.0,0.0
1056,1783175,BCM Energy group,,,,
1057,1834629,Beesbusy,0.18181818181818182,0.0,0.0,0.0
1058,125021,Beekast,0.11320754716981132,0.0,1.0,1.0
1059,1482787,Beyond Ratings,0.4444444444444444,0.0,0.0,0.0
1060,1716541,BimBamJob,,,,
1061,1329721,Merieux Nutrisciences Corporation,,,,
1062,1715788,Biolie,0.45454545454545453,0.0,0.0,0.0
1063,915054,Blade Shadow,,,,
1064,892805,Blueboard,0.17647058823529413,0.0,0.0,0.0
1065,1478505,Boa Concept,0.125,0.0,0.0,0.0
1066,1659870,Boarding Ring,0.2,0.0,0.0,0.0
1067,894828,Body cap,0.38461538461538464,1.0,1.0,0.0
1068,882396,Bon de Visite,0.1875,0.0,0.0,0.0
1069,969277,BOOKBEO SAS,0.16666666666666666,0.0,0.0,0.0
1070,246820,BOTIFY,,,,
1071,1662560,Brasserie Dulion,0.0,0.0,0.0,0.0
1072,81338,THECALLR,0.16666666666666666,0.0,0.0,0.0
1073,1481650,Calmedica,0.15384615384615385,0.0,0.0,0.0
1074,215040,Camp de Bases,0.07692307692307693,0.0,0.0,0.0
1075,1482674,Caveasy,0.0,0.0,0.0,0.0
1076,969347,Cellulopack,0.0,0.0,0.0,0.0
1077,1479647,CellMade,0.5,0.0,0.0,0.0
1078,6848,CellNovo,0.0,0.0,0.0,0.0
1079,969359,Ceramiques Techniques Industrielles,0.25,0.0,0.0,0.0
1080,1802949,CCI Paris Ile de France,,,,
1081,878020,Charge Map,0.04,0.0,0.0,0.0
1082,1478769,Chouette,0.3125,0.0,0.0,0.0
